basicid,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore
384207,48085031649,All Jobs,All Jobs,1.9868101473,1.8257018374
385505,48085031654,All Jobs,All Jobs,0.6567898968,0.5187543748
386803,48085031655,All Jobs,All Jobs,1.4113374943,1.2994008492
388101,48085031657,All Jobs,All Jobs,2.4449446975,2.2724220366
389399,48085031659,All Jobs,All Jobs,1.8569574008,1.7014896228
390697,48085031660,All Jobs,All Jobs,2.1060865061,1.8983014946
391995,48085031661,All Jobs,All Jobs,0.4178653583,0.31009741500000004
393293,48085031662,All Jobs,All Jobs,0.6435955313,0.4973952924
394591,48085031663,All Jobs,All Jobs,0.3792668361,0.2942375635
395889,48085031664,All Jobs,All Jobs,0.22858763640000002,0.1547511819
397187,48085031665,All Jobs,All Jobs,0.2565842289,0.18702290030000002
398485,48085031666,All Jobs,All Jobs,0.0192477728,-0.0401519485
399783,48085031667,All Jobs,All Jobs,0.7840270596000001,0.7259888586000001
401081,48085031668,All Jobs,All Jobs,1.0001100479,0.9324711787000001
402379,48085031669,All Jobs,All Jobs,1.3415160704,1.2092504892
403677,48085031670,All Jobs,All Jobs,2.6649347576,2.5157916021
404975,48085031671,All Jobs,All Jobs,4.7092064656,4.5006507493
406273,48085031672,All Jobs,All Jobs,1.7253963389,1.6447494342
407571,48085031673,All Jobs,All Jobs,1.1547618816,1.0607025349
408869,48085031674,All Jobs,All Jobs,0.3270555176,0.2162371794
410167,48085031675,All Jobs,All Jobs,0.4236302007,0.3319197218
411465,48085031676,All Jobs,All Jobs,0.4672026379,0.37489753470000003
412763,48085031677,All Jobs,All Jobs,-0.0142564431,-0.0591824803
414061,48085031678,All Jobs,All Jobs,-0.0466581342,-0.1210542705
415359,48085031679,All Jobs,All Jobs,-0.105011778,-0.1397772028
416657,48085031680,All Jobs,All Jobs,0.2012450013,0.1159097421
417955,48085031706,All Jobs,All Jobs,1.4428625008,1.4582847998
419253,48085031708,All Jobs,All Jobs,1.1305552121,1.1049502412
420551,48085031709,All Jobs,All Jobs,1.1028477287,1.0357016506
421849,48085031711,All Jobs,All Jobs,1.7616521625,1.7359293331
423147,48085031713,All Jobs,All Jobs,1.7346126933,1.7083182692
424445,48085031715,All Jobs,All Jobs,0.6528557427,0.6496256766
425743,48085031716,All Jobs,All Jobs,0.9297304873000001,0.8928149829
427041,48085031724,All Jobs,All Jobs,0.8044956875,0.8011763169
428339,48085031806,All Jobs,All Jobs,1.6817157892,1.6276267088
429637,48085031807,All Jobs,All Jobs,1.3918688633,1.3557478829
430935,48085031808,All Jobs,All Jobs,0.8038655254,0.6616133904
432233,48085031813,All Jobs,All Jobs,0.6036823384000001,0.5699864112
433531,48085031814,All Jobs,All Jobs,0.8678029897,0.8307745829000001
434829,48085031815,All Jobs,All Jobs,0.8046110703,0.7877614078
436127,48085031816,All Jobs,All Jobs,1.4994374435,1.5496062973
437425,48085032012,All Jobs,All Jobs,0.17553885090000002,0.14032797160000002
438723,48085031901,All Jobs,All Jobs,0.8811538384000001,0.8834907762
440021,48085031902,All Jobs,All Jobs,1.7979570094000001,1.6250304662000001
441319,48085031903,All Jobs,All Jobs,2.187401832,2.1515247308
442617,48085031904,All Jobs,All Jobs,1.5463008673,1.4972026477
443915,48085032003,All Jobs,All Jobs,1.2810363113,1.0963978266
445213,48085032008,All Jobs,All Jobs,-0.2069165231,-0.2156600864
446511,48085032010,All Jobs,All Jobs,-0.0559233824,-0.044102524500000004
447809,48085032013,All Jobs,All Jobs,0.2525457847,0.185228268
449107,48085032014,All Jobs,All Jobs,0.07568896380000001,0.061303088900000004
450405,48085032015,All Jobs,All Jobs,-0.1140988455,-0.1287114457
451703,48085032016,All Jobs,All Jobs,0.0824877397,0.0707263556
453001,48085032017,All Jobs,All Jobs,-0.24614859200000003,-0.239855264
454299,48085032018,All Jobs,All Jobs,0.4067493424,0.3946193277
