,GEOID,Category,Category Type,Openings_2024_zscore,Jobs_2024_zscore,Openings_2024_zscore_color
163545,48113012604,Living Wage,Living Wage Occupations,-0.47536262830000003,-0.4134612653,-0.5SD ~ +0.5SD
164843,48113013605,Living Wage,Living Wage Occupations,1.0129392222,1.044864681,+0.5SD ~ +1.5SD
166141,48113014119,Living Wage,Living Wage Occupations,0.443313926,0.4853224666,-0.5SD ~ +0.5SD
167439,48113014603,Living Wage,Living Wage Occupations,0.36055016030000003,0.46059223200000005,-0.5SD ~ +0.5SD
168737,48113014701,Living Wage,Living Wage Occupations,0.7398209393,0.8399192676,+0.5SD ~ +1.5SD
170035,48113016535,Living Wage,Living Wage Occupations,-0.0729318372,-0.0249237801,-0.5SD ~ +0.5SD
171333,48113016536,Living Wage,Living Wage Occupations,-0.0914031524,-0.065822658,-0.5SD ~ +0.5SD
172631,48113017204,Living Wage,Living Wage Occupations,-0.5040603482,-0.46526247130000004,-1.5SD ~ -0.5SD
173929,48113017814,Living Wage,Living Wage Occupations,-0.6112616376000001,-0.5455944138000001,-1.5SD ~ -0.5SD
175227,48113018111,Living Wage,Living Wage Occupations,-0.5802145888,-0.5054310961,-1.5SD ~ -0.5SD
176525,48113019044,Living Wage,Living Wage Occupations,0.0481869534,0.0574470382,-0.5SD ~ +0.5SD
177823,48113019045,Living Wage,Living Wage Occupations,0.20469508,0.2136737807,-0.5SD ~ +0.5SD
179121,48113019046,Living Wage,Living Wage Occupations,-0.24689660160000002,-0.2111350776,-0.5SD ~ +0.5SD
180419,48113019047,Living Wage,Living Wage Occupations,-0.2669667295,-0.21929609630000002,-0.5SD ~ +0.5SD
181717,48121021100,Living Wage,Living Wage Occupations,-0.1667279921,-0.2284491297,-0.5SD ~ +0.5SD
183015,48121021729,Living Wage,Living Wage Occupations,0.16761152340000002,0.140589501,-0.5SD ~ +0.5SD
184313,48257050602,Living Wage,Living Wage Occupations,-1.3902248315999999,-1.3188076208,-1.5SD ~ -0.5SD
185611,48257050701,Living Wage,Living Wage Occupations,-1.1834563719,-1.128087982,-1.5SD ~ -0.5SD
186909,48257050703,Living Wage,Living Wage Occupations,-1.4207554124000001,-1.4017344963,-1.5SD ~ -0.5SD
188207,48257050704,Living Wage,Living Wage Occupations,-1.3521688955,-1.2838077009,-1.5SD ~ -0.5SD
189505,48439105706,Living Wage,Living Wage Occupations,-0.7491510059,-0.7673399762,-1.5SD ~ -0.5SD
190803,48439111024,Living Wage,Living Wage Occupations,-0.7279743674,-0.8362586722,-1.5SD ~ -0.5SD
192101,48439111558,Living Wage,Living Wage Occupations,0.23755275,0.2120948899,-0.5SD ~ +0.5SD
193399,48439113121,Living Wage,Living Wage Occupations,0.2850249084,0.29190109340000003,-0.5SD ~ +0.5SD
194697,48439122002,Living Wage,Living Wage Occupations,0.15795160090000002,0.1170636817,-0.5SD ~ +0.5SD
195995,48439122100,Living Wage,Living Wage Occupations,0.1108096761,0.013638202200000001,-0.5SD ~ +0.5SD
197293,48085030541,Living Wage,Living Wage Occupations,0.1099342044,-0.0110221743,-0.5SD ~ +0.5SD
198591,48085030102,Living Wage,Living Wage Occupations,-1.3258526499,-1.2914449281,-1.5SD ~ -0.5SD
199889,48085030201,Living Wage,Living Wage Occupations,-1.0456638665,-1.052669256,-1.5SD ~ -0.5SD
201187,48085030202,Living Wage,Living Wage Occupations,-1.1214020724,-1.1346801785,-1.5SD ~ -0.5SD
202485,48085030204,Living Wage,Living Wage Occupations,-1.1237108534,-1.0967141519,-1.5SD ~ -0.5SD
203783,48085030205,Living Wage,Living Wage Occupations,-0.9679162928,-0.986416473,-1.5SD ~ -0.5SD
205081,48085030101,Living Wage,Living Wage Occupations,-1.3131133413,-1.2736552678,-1.5SD ~ -0.5SD
