tractid,frompre60,frompregravity,frompost60,frompostgravity,topre60,topregravity,topost60,topostgravity
36047013900,3538015.0,2184.4263699639146,3560529.0,2195.061922937476,2147393.0,1657.092793596655,2197548.0,1675.4963678724994
36047002300,3899515.0,3488.3944892620284,3931349.0,3501.793908479976,2563076.0,1808.1524275815248,2634362.0,1841.210020122062
36047016000,2710749.0,1255.480339750421,2873430.0,1331.9903531443065,1504220.0,1171.199380521355,1779732.0,1295.5214561779412
36047036300,2497170.0,1130.5404538262442,3260090.0,1426.1645094074115,2155782.0,1511.5380470714151,2301695.0,1772.0997013032822
36047092800,1542641.0,848.306795359907,2558564.0,1203.290764982332,1277289.0,980.714777332592,1061896.0,915.4464434907724
36047012801,2610215.0,1145.2278117093424,2986869.0,1398.5261245895358,1084569.0,975.0542807818445,1153112.0,1057.3838364015332
36047046800,2191928.0,1096.7431935350205,2188428.0,1097.61200248038,1024574.0,876.298005416357,971401.0,865.5076355707143
36047047000,2120602.0,1274.639522914155,3400435.0,1768.2725622983078,1263121.0,1017.3184030950612,2158295.0,1818.788984544268
36047045800,2482709.0,1264.9322925499064,2833830.0,1438.399563313198,1391888.0,1212.8405343861205,1897517.0,1566.1479307242705
36047046202,2515328.0,1379.4713743712116,2784572.0,1509.0266227194645,1479622.0,1247.0059404883718,2015312.0,1652.100745724822
36047046400,2430532.0,1313.5165106567636,2790941.0,1501.3104948507962,1484899.0,1253.075981617869,2163570.0,1916.2723793099
36047047400,2681959.0,1419.0482581794026,3070936.0,1596.8740319692492,1207851.0,986.9118980229006,2076380.0,1689.8730340302632
36047047600,2444133.0,1482.965923950284,2700289.0,1617.0002273220766,1251404.0,1021.8483332571228,1630076.0,1269.2555423673969
36047047700,3781893.0,2389.7313222799007,3896078.0,2429.245085931673,2489309.0,1856.0414154390744,2619548.0,1906.748920170995
36047047800,2772847.0,1621.3866662235632,2767244.0,1629.497626599535,1300796.0,1038.282276842221,1448185.0,1168.849044814669
36047048000,2780919.0,1626.2976076060545,3116233.0,1801.419704198447,1458421.0,1258.29954773961,2091364.0,1779.5964231688145
36047048100,3809093.0,2818.596192681713,3892710.0,2849.18315577794,2417301.0,1633.1129096281304,2564025.0,1691.749435596951
